filename,class_#
rhangloosepointcloud_007.png,1
nrhangloose_065.png,1
nnhangloosepointcloud_001.png,1
rhangloosepointcloud_206.png,1
nnhangloosepointcloud_163.png,1
nrhangloose_099.png,1
nrhangloose_093.png,1
nrhangloose_095.png,1
rhangloosepointcloud_123.png,1
nnhangloosepointcloud_181.png,1
nnhangloosepointcloud_170.png,1
nnhangloosepointcloud_204.png,1
nnhangloosepointcloud_011.png,1
nnhangloosepointcloud_166.png,1
nrhangloose_090.png,1
nrhangloose_070.png,1
rhangloosepointcloud_255.png,1
rhangloosepointcloud_254.png,1
nnhangloosepointcloud_202.png,1
rhangloosepointcloud_017.png,1
nnhangloosepointcloud_014.png,1
nnhangloosepointcloud_159.png,1
nrhangloose_003.png,1
nnhangloosepointcloud_208.png,1
rhangloosepointcloud_002.png,1
rhangloosepointcloud_022.png,1
nnhangloosepointcloud_169.png,1
rhangloosepointcloud_263.png,1
rhangloosepointcloud_117.png,1
rhangloosepointcloud_028.png,1
nrhangloose_040.png,1
rhangloosepointcloud_005.png,1
nrhangloose_122.png,1
nnhangloosepointcloud_123.png,1
nnhangloosepointcloud_171.png,1
nnhangloosepointcloud_155.png,1
rhangloosepointcloud_063.png,1
rhangloosepointcloud_291.png,1
rhangloosepointcloud_044.png,1
nnhangloosepointcloud_046.png,1
nnhangloosepointcloud_062.png,1
rhangloosepointcloud_040.png,1
nrhangloose_069.png,1
nrhangloose_038.png,1
nrhangloose_054.png,1
rhangloosepointcloud_260.png,1
nnhangloosepointcloud_140.png,1
nrhangloose_001.png,1
rhangloosepointcloud_286.png,1
nrhangloose_000.png,1
nnhangloosepointcloud_073.png,1
nnhangloosepointcloud_156.png,1
nnhangloosepointcloud_040.png,1
nrhangloose_023.png,1
rhangloosepointcloud_024.png,1
nrhangloose_098.png,1
rhangloosepointcloud_259.png,1
nrhangloose_133.png,1
nnhangloosepointcloud_175.png,1
nnhangloosepointcloud_020.png,1
nnhangloosepointcloud_082.png,1
nrhangloose_091.png,1
nnhangloosepointcloud_168.png,1
